xMin 0.0 xMax 20.0 yMin 0.0 yMax 10.3923048454133 zMin 0.50 zMax 22.0
Particles 3480
id	x-position	y-position	z-position	radius
141	11.5	7.42820323027551	0.5	0.5
142	11	8.29422863405995	0.5	0.5
143	11.5	9.16025403784439	0.5	0.5
144	11	10.0262794416288	0.5	0.5
145	12.5	0.5	0.5	0.5
146	12	1.36602540378444	0.5	0.5
147	12.5	2.23205080756888	0.5	0.5
148	12	3.09807621135332	0.5	0.5
149	12.5	3.96410161513775	0.5	0.5
150	12	4.83012701892219	0.5	0.5
151	12.5	5.69615242270663	0.5	0.5
152	12	6.56217782649107	0.5	0.5
153	12.5	7.42820323027551	0.5	0.5
154	12	8.29422863405995	0.5	0.5
155	12.5	9.16025403784439	0.5	0.5
156	12	10.0262794416288	0.5	0.5
157	13.5	0.5	0.5	0.5
158	13	1.36602540378444	0.5	0.5
159	13.5	2.23205080756888	0.5	0.5
160	13	3.09807621135332	0.5	0.5
161	13.5	3.96410161513775	0.5	0.5
162	13	4.83012701892219	0.5	0.5
163	13.5	5.69615242270663	0.5	0.5
164	13	6.56217782649107	0.5	0.5
165	13.5	7.42820323027551	0.5	0.5
166	13	8.29422863405995	0.5	0.5
167	13.5	9.16025403784439	0.5	0.5
168	13	10.0262794416288	0.5	0.5
169	14.5	0.5	0.5	0.5
170	14	1.36602540378444	0.5	0.5
171	14.5	2.23205080756888	0.5	0.5
172	14	3.09807621135332	0.5	0.5
173	14.5	3.96410161513775	0.5	0.5
174	14	4.83012701892219	0.5	0.5
175	14.5	5.69615242270663	0.5	0.5
176	14	6.56217782649107	0.5	0.5
177	14.5	7.42820323027551	0.5	0.5
178	14	8.29422863405995	0.5	0.5
179	14.5	9.16025403784439	0.5	0.5
180	14	10.0262794416288	0.5	0.5
181	15.5	0.5	0.5	0.5
182	15	1.36602540378444	0.5	0.5
183	15.5	2.23205080756888	0.5	0.5
184	15	3.09807621135332	0.5	0.5
185	15.5	3.96410161513775	0.5	0.5
186	15	4.83012701892219	0.5	0.5
187	15.5	5.69615242270663	0.5	0.5
188	15	6.56217782649107	0.5	0.5
189	15.5	7.42820323027551	0.5	0.5
190	15	8.29422863405995	0.5	0.5
191	15.5	9.16025403784439	0.5	0.5
192	15	10.0262794416288	0.5	0.5
193	16.5	0.5	0.5	0.5
194	16	1.36602540378444	0.5	0.5
195	16.5	2.23205080756888	0.5	0.5
